Latitude,Longitude,2010,1990,1970
34.54,69.17,"3,052","1,332",472
36.76,3.05,"2,851","1,819","1,281"
35.75,-0.63,776,647,385
-12.76,15.75,"1,039",326,61
-8.84,13.23,"4,790","1,568",459
-34.59,-58.67,"13,370","10,513","8,105"
-31.4,-64.18,"1,532","1,200",810
-34.93,-57.95,747,634,484
-32.88,-68.82,942,759,473
-32.95,-60.67,"1,264","1,084",816
-26.78,-65.25,853,611,365
40.18,44.5,"1,113","1,175",778
-34.93,138.6,"1,181","1,046",792
-27.46,153.02,"1,993","1,329",798
-37.81,144.96,"3,896","3,117","2,334"
-31.96,115.84,"1,617","1,160",611
-33.87,151.21,"4,479","3,632","2,667"
48.12,16.22,"1,708","1,539","1,621"
40.39,49.86,"2,062","1,733","1,274"
22.36,91.8,"5,069","2,023",723
23.72,90.41,"14,930","6,621","1,374"
22.82,89.57,"1,723",985,310
24.37,88.6,900,521,105
53.9,27.57,"1,847","1,618",932
51.22,4.42,956,893,855
50.83,4.33,"1,933","1,680","1,568"
6.35,2.43,882,504,163
-16.5,-68.15,"1,678","1,062",600
-17.8,-63.17,"1,653",616,166
-10.92,-37.07,748,453,183
-21.91,-43.32,"1,659","1,184",625
-1.46,-48.5,"2,038","1,129",601
-19.92,-43.93,"5,407","3,548","1,485"
-15.78,-47.92,"3,701","1,863",525
-22.9,-47.08,"2,794","1,693",540
-20.45,-54.62,775,486,129
-15.58,-56.08,789,510,100
-25.42,-49.25,"3,118","1,829",651
-27.58,-48.52,"1,010",503,150
-3.78,-38.59,"3,520","2,226",867
-16.67,-49.27,"2,049","1,132",375
-5.78,-35.62,"1,304",672,263
-5.24,-36.38,"1,666","1,052",339
-7.12,-34.87,"1,067",652,289
-9.67,-35.72,"1,154",660,278
-3.11,-60.03,"1,798",955,281
-5.78,-35.22,"1,252",692,288
-6,-42,"1,114",603,205
-30.03,-51.2,"3,892","2,934","1,398"
-8.05,-34.9,"3,684","2,690","1,638"
-22.9,-43.23,"11,867","9,595","6,637"
-12.97,-38.5,"3,947","2,331","1,069"
-23.53,-46.62,"19,649","14,776","7,620"
-23.48,-47.45,776,436,191
-5.08,-42.82,902,614,195
42.69,23.31,"1,175","1,191",888
12.37,-1.52,"1,911",537,115
11.55,104.92,"1,509",615,900
4.05,9.7,"2,348",940,298
3.87,11.52,"2,320",777,183
51.07,-114.06,"1,191",738,389
53.55,-113.57,"1,121",831,477
45.57,-73.66,"3,808","3,154","2,684"
45.42,-75.71,"1,191",918,581
46.89,-71.34,746,638,467
43.67,-79.42,"5,485","3,807","2,535"
49.27,-123.15,"2,235","1,559","1,045"
12.12,15.05,"1,038",477,155
-36.83,-73.05,758,551,341
-33.45,-70.67,"5,959","4,616","2,647"
-33.05,-71.6,874,733,532
41.1,122.99,"1,662","1,234",813
36.11,114.32,"1,129",410,221
38.87,115.47,"1,148",471,338
34.37,107.14,901,452,226
40.65,109.82,"1,931","1,044",754
39.92,116.43,"15,000","6,788","4,426"
32.95,117.37,914,447,274
41.3,123.77,968,759,505
43.87,125.3,"3,598","2,192","1,255"
29.05,111.68,924,275,140
28.22,112.94,"3,212","1,089",731
31.64,120.74,742,147,26
31.78,119.95,"2,323",730,327
30.65,104.07,"6,397","2,955","1,750"
42.26,118.94,842,345,186
29.56,106.55,"9,732","3,123","2,237"
30.18,121.23,781,207,26
38.92,121.58,"3,305","1,884","1,177"
40.13,124.38,795,543,269
46.61,124.99,"1,547",757,370
40.11,113.28,"1,355",917,432
23.02,113.74,"7,160",553,114
37.43,118.67,949,395,97
23.19,113.14,"6,208","1,450",367
41.87,123.92,"1,377","1,289",829
42.02,121.67,821,600,321
32.9,115.75,874,142,81
26.08,119.3,"2,799",875,549
23.1,113.26,"10,486","3,072","1,542"
25.27,110.3,968,561,296
26.58,106.7,"2,458","1,080",702
45.75,126.7,"5,496","2,392","1,696"
40.85,122.74,738,356,130
20.03,110.32,"1,587",331,221
36.61,114.47,"1,250",525,190
30.27,120.15,"5,189","1,476","1,027"
31.87,117.28,"2,830","1,100",518
26.9,112.6,"1,099",504,221
40.8,111.68,"1,446",635,365
33.61,119.01,"1,262",330,146
33.95,116.78,963,290,114
32.64,116.99,"1,396",724,508
30.2,115.02,761,483,268
23.11,114.42,"1,760",205,100
40.71,120.84,795,351,47
30.87,120.11,790,214,112
46.8,130.36,817,469,258
22.57,113.08,"1,103",190,129
31.92,120.25,747,130,21
35.22,113.22,783,395,185
30.77,120.75,749,210,118
43.86,126.57,"1,889","1,090",606
36.68,117.01,"3,581","1,923","1,060"
30.33,112.2,"1,040",301,158
35.41,116.59,"1,207",343,138
24.83,118.58,859,98,28
41.11,121.15,856,592,316
29.72,115.99,759,262,81
45.29,132.96,"1,043",650,268
22.62,120.31,"1,514","1,372",807
25.06,102.68,"3,388","1,100",472
36.05,103.84,"2,487","1,290",863
34.59,119.22,965,344,211
36.45,115.97,727,220,50
35.05,118.34,"1,426",260,63
24.32,109.38,"1,353",637,314
22.95,115.63,732,275,67
34.62,112.46,"1,539",725,392
28.87,105.44,850,273,142
21.65,110.9,"1,004",173,50
31.46,104.74,"1,006",289,139
44.58,129.61,783,479,271
28.7,115.91,"2,331",912,615
30.79,106.07,808,279,206
32.07,118.78,"5,665","2,497","1,459"
22.82,108.32,"2,096",759,432
31.97,120.89,"1,550",470,292
33,112.52,"1,164",228,146
29.57,105.05,883,415,231
29.9,121.55,"2,632",634,377
41.12,122.07,813,367,141
33.73,113.33,"1,024",431,64
27.65,113.85,732,404,199
23.29,116.15,912,76,34
25.45,119.01,"1,030",311,157
36.07,120.38,"3,680","1,332",906
39.93,119.6,893,358,173
47.34,123.97,"1,588","1,115",591
24.88,118.6,"1,062",174,129
35.42,119.52,816,248,41
31.23,121.47,"19,554","7,823","6,036"
23.36,116.68,"4,062",725,345
24.81,113.58,840,237,133
29.99,120.58,873,181,85
41.79,123.45,"5,469","3,651","3,156"
22.54,114.05,"10,222",875,22
38.06,114.49,"2,741","1,372",692
32.61,110.76,737,333,133
31.29,120.57,"3,248",689,508
36.18,117.12,"1,240",367,37
24.13,120.67,"1,140",765,440
22.99,120.18,784,669,471
25.04,121.52,"2,654","2,737","1,720"
37.87,112.56,"3,392","1,637",622
32.5,119.9,"1,338",912,536
28.68,121.43,786,158,96
39.63,118.18,"1,871",996,646
39.09,117.17,"8,535","4,558","3,318"
43.82,87.62,"2,954","1,149",581
36.7,119.16,"1,699",634,286
37.52,122.08,783,107,62
28.01,120.67,"2,635","1,111",767
30.58,114.28,"8,904","3,417","2,039"
31.34,118.38,"1,172",442,268
31.5,120.27,"3,222",992,602
24.5,118.1,"2,702",639,418
34.26,108.94,"4,846","2,157",960
27.84,112.9,950,456,279
32.02,112.16,"1,531",554,179
34.32,108.71,"1,019",317,200
37.98,101.77,"1,185",592,321
35.3,113.89,"1,016",450,291
34.26,117.18,"2,144",781,557
33.34,120.15,"1,290",392,134
32.38,119.43,"1,566",541,247
37.46,121.44,"1,526",422,216
30.7,111.28,980,492,183
38.45,106.27,"1,052",384,163
40.69,122.29,849,458,218
29.31,120.08,735,114,19
28.57,112.35,819,191,117
29.36,113.11,"1,155",305,68
34.85,117.55,"1,175",303,198
40.81,114.88,"1,043",558,343
21.26,110.33,"1,014",486,272
34.75,113.63,"3,796","1,134",508
32.19,119.45,"1,008",328,235
22.31,113.23,"2,695",393,147
22.27,113.53,"1,359",220,17
27.83,113.15,"1,025",430,215
36.81,118.05,"2,456",777,357
29.34,104.77,946,368,264
27.72,106.92,844,250,134
22.25,114.16,"7,053","5,766","3,472"
11,-74.8,"1,867","1,229",691
4.63,-74.08,"8,502","4,740","2,383"
7.13,-73.12,"1,092",650,325
3.45,-76.51,"2,402","1,552",851
10.4,-75.5,963,561,274
7.91,-72.51,775,506,206
6.25,-75.58,"3,595","2,135","1,260"
-4.25,15.26,"1,557",704,238
-4.79,11.85,807,363,116
9.93,-84.08,"1,466",737,359
5.32,-4.03,"4,151","2,102",548
