V1,V2,V3
359.5083,-10.1054,-5408
359.525,-10.1054,-5392
359.5417,-10.1054,-5382
359.5583,-10.1054,-5386
359.575,-10.1054,-5412
359.5916,-10.1054,-5456
359.6083,-10.1054,-5510
359.625,-10.1054,-5566
359.6416,-10.1054,-5610
359.6583,-10.1054,-5632
359.675,-10.1054,-5640
359.6917,-10.1054,-5634
359.7083,-10.1054,-5620
359.725,-10.1054,-5604
359.7416,-10.1054,-5594
359.7583,-10.1054,-5592
359.775,-10.1054,-5598
359.7917,-10.1054,-5606
359.8083,-10.1054,-5614
359.825,-10.1054,-5612
359.8416,-10.1054,-5588
359.8583,-10.1054,-5550
359.875,-10.1054,-5508
359.8916,-10.1054,-5476
359.9083,-10.1054,-5472
359.925,-10.1054,-5498
359.9417,-10.1054,-5548
359.9583,-10.1054,-5608
359.975,-10.1054,-5656
359.9916,-10.1054,-5682
359.5083,-10.1218,-5476
359.525,-10.1218,-5460
359.5417,-10.1218,-5442
359.5583,-10.1218,-5436
359.575,-10.1218,-5450
359.5916,-10.1218,-5482
359.6083,-10.1218,-5530
359.625,-10.1218,-5576
359.6416,-10.1218,-5614
359.6583,-10.1218,-5632
359.675,-10.1218,-5634
359.6917,-10.1218,-5618
359.7083,-10.1218,-5598
359.725,-10.1218,-5580
359.7416,-10.1218,-5572
359.7583,-10.1218,-5576
359.775,-10.1218,-5592
359.7917,-10.1218,-5610
359.8083,-10.1218,-5620
359.825,-10.1218,-5614
359.8416,-10.1218,-5586
359.8583,-10.1218,-5542
359.875,-10.1218,-5494
359.8916,-10.1218,-5464
359.9083,-10.1218,-5462
359.925,-10.1218,-5494
359.9417,-10.1218,-5552
359.9583,-10.1218,-5618
359.975,-10.1218,-5670
359.9916,-10.1218,-5694
359.5083,-10.1383,-5536
359.525,-10.1383,-5520
359.5417,-10.1383,-5498
359.5583,-10.1383,-5482
359.575,-10.1383,-5482
359.5916,-10.1383,-5502
359.6083,-10.1383,-5534
359.625,-10.1383,-5574
359.6416,-10.1383,-5604
359.6583,-10.1383,-5620
359.675,-10.1383,-5614
359.6917,-10.1383,-5596
359.7083,-10.1383,-5570
359.725,-10.1383,-5552
359.7416,-10.1383,-5550
359.7583,-10.1383,-5562
359.775,-10.1383,-5588
359.7917,-10.1383,-5614
359.8083,-10.1383,-5626
359.825,-10.1383,-5618
359.8416,-10.1383,-5582
