QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
USPSRA.050997.R02A,Point 10--Most important,82,"I'd like to ask you about some different aspects of your life. As I read the following list, please tell me how important each aspect is to your personal happiness and fulfillment using a scale from zero to 10, where 10 means very important and zero means not important at all. Your relationship with your (husband/partner)...how important is this to your personal happiness? You can use any number between zero and ten.",Women who are married or living as married (57% of women) Mean = Point 9.5,See note,05/09/1997,Princeton Survey Research Associates,Pew Research Center for the People & the Press,Pew Research Center for the People & the Press State Of The Union Mother's Day Poll,03/14/1997,03/26/1997,Y,national adult women,1101,telephone,0
USPSRA.050997.R02A,Points 7-9--Important,13,"I'd like to ask you about some different aspects of your life. As I read the following list, please tell me how important each aspect is to your personal happiness and fulfillment using a scale from zero to 10, where 10 means very important and zero means not important at all. Your relationship with your (husband/partner)...how important is this to your personal happiness? You can use any number between zero and ten.",Women who are married or living as married (57% of women) Mean = Point 9.5,See note,05/09/1997,Princeton Survey Research Associates,Pew Research Center for the People & the Press,Pew Research Center for the People & the Press State Of The Union Mother's Day Poll,03/14/1997,03/26/1997,Y,national adult women,1101,telephone,0
USPSRA.050997.R02A,Points 5-6--Not too important,3,"I'd like to ask you about some different aspects of your life. As I read the following list, please tell me how important each aspect is to your personal happiness and fulfillment using a scale from zero to 10, where 10 means very important and zero means not important at all. Your relationship with your (husband/partner)...how important is this to your personal happiness? You can use any number between zero and ten.",Women who are married or living as married (57% of women) Mean = Point 9.5,See note,05/09/1997,Princeton Survey Research Associates,Pew Research Center for the People & the Press,Pew Research Center for the People & the Press State Of The Union Mother's Day Poll,03/14/1997,03/26/1997,Y,national adult women,1101,telephone,0
USPSRA.050997.R02A,Points 0-4--Not important at all,1,"I'd like to ask you about some different aspects of your life. As I read the following list, please tell me how important each aspect is to your personal happiness and fulfillment using a scale from zero to 10, where 10 means very important and zero means not important at all. Your relationship with your (husband/partner)...how important is this to your personal happiness? You can use any number between zero and ten.",Women who are married or living as married (57% of women) Mean = Point 9.5,See note,05/09/1997,Princeton Survey Research Associates,Pew Research Center for the People & the Press,Pew Research Center for the People & the Press State Of The Union Mother's Day Poll,03/14/1997,03/26/1997,Y,national adult women,1101,telephone,0
USPSRA.050997.R02A,Don't know,1,"I'd like to ask you about some different aspects of your life. As I read the following list, please tell me how important each aspect is to your personal happiness and fulfillment using a scale from zero to 10, where 10 means very important and zero means not important at all. Your relationship with your (husband/partner)...how important is this to your personal happiness? You can use any number between zero and ten.",Women who are married or living as married (57% of women) Mean = Point 9.5,See note,05/09/1997,Princeton Survey Research Associates,Pew Research Center for the People & the Press,Pew Research Center for the People & the Press State Of The Union Mother's Day Poll,03/14/1997,03/26/1997,Y,national adult women,1101,telephone,0
USPSRA.050997.R02B,Point 10--Most important,86,"(I'd like to ask you about some different aspects of your life. As I read the following list, please tell me how important each aspect is to your personal happiness and fulfillment using a scale from zero to 10, where 10 means very important and zero means not important at all.) Your relationship with your (child/children) under 18...how important is this to your personal happiness? You can use any number between zero and ten.",Mean = Point 9.6,Mothers of children under 18 (38% of women),05/09/1997,Princeton Survey Research Associates,Pew Research Center for the People & the Press,Pew Research Center for the People & the Press State Of The Union Mother's Day Poll,03/14/1997,03/26/1997,Y,national adult women,1101,telephone,0
USPSRA.050997.R02B,Points 7-9--Important,12,"(I'd like to ask you about some different aspects of your life. As I read the following list, please tell me how important each aspect is to your personal happiness and fulfillment using a scale from zero to 10, where 10 means very important and zero means not important at all.) Your relationship with your (child/children) under 18...how important is this to your personal happiness? You can use any number between zero and ten.",Mean = Point 9.6,Mothers of children under 18 (38% of women),05/09/1997,Princeton Survey Research Associates,Pew Research Center for the People & the Press,Pew Research Center for the People & the Press State Of The Union Mother's Day Poll,03/14/1997,03/26/1997,Y,national adult women,1101,telephone,0
USPSRA.050997.R02B,Points 5-6--Not too important,1,"(I'd like to ask you about some different aspects of your life. As I read the following list, please tell me how important each aspect is to your personal happiness and fulfillment using a scale from zero to 10, where 10 means very important and zero means not important at all.) Your relationship with your (child/children) under 18...how important is this to your personal happiness? You can use any number between zero and ten.",Mean = Point 9.6,Mothers of children under 18 (38% of women),05/09/1997,Princeton Survey Research Associates,Pew Research Center for the People & the Press,Pew Research Center for the People & the Press State Of The Union Mother's Day Poll,03/14/1997,03/26/1997,Y,national adult women,1101,telephone,0
USPSRA.050997.R02B,Points 0-4--Not important at all,1,"(I'd like to ask you about some different aspects of your life. As I read the following list, please tell me how important each aspect is to your personal happiness and fulfillment using a scale from zero to 10, where 10 means very important and zero means not important at all.) Your relationship with your (child/children) under 18...how important is this to your personal happiness? You can use any number between zero and ten.",Mean = Point 9.6,Mothers of children under 18 (38% of women),05/09/1997,Princeton Survey Research Associates,Pew Research Center for the People & the Press,Pew Research Center for the People & the Press State Of The Union Mother's Day Poll,03/14/1997,03/26/1997,Y,national adult women,1101,telephone,0
USPSRA.050997.R02C,Point 10--Most important,77,"(I'd like to ask you about some different aspects of your life. As I read the following list, please tell me how important each aspect is to your personal happiness and fulfillment using a scale from zero to 10, where 10 means very important and zero means not important at all.) Your relationship with your adult children...how important is this to your personal happiness? You can use any number between zero and ten.",Mean = Point 9.5,Mothers of adult children (45% of women),05/09/1997,Princeton Survey Research Associates,Pew Research Center for the People & the Press,Pew Research Center for the People & the Press State Of The Union Mother's Day Poll,03/14/1997,03/26/1997,Y,national adult women,1101,telephone,0
