Status,Country,Percent
Very happy,Total-w4,26.1
Quite happy,Total-w4,58.2
Not very happy,Total-w4,13.2
Not at all happy,Total-w4,2.2
No answer,Total-w4,0.1
Don't know,Total-w4,0.2
Very happy,China-w4,18.8
Quite happy,China-w4,58
Not very happy,China-w4,19
Not at all happy,China-w4,3.5
No answer,China-w4,0.1
Don't know,China-w4,0.6
Very happy,Rwanda-w4,11.9
Quite happy,Rwanda-w4,73.5
Not very happy,Rwanda-w4,12
Not at all happy,Rwanda-w4,2.4
No answer,Rwanda-w4,0.3
Don't know,Rwanda-w4,0
Very happy,Trinidad and Tobago-w4,51.7
Quite happy,Trinidad and Tobago-w4,35.1
Not very happy,Trinidad and Tobago-w4,11.6
Not at all happy,Trinidad and Tobago-w4,1.7
No answer,Trinidad and Tobago-w4,0
Don't know,Trinidad and Tobago-w4,0
Very happy,United States-w4,34.4
Quite happy,United States-w4,58.8
Not very happy,United States-w4,6.4
Not at all happy,United States-w4,0.4
No answer,United States-w4,0
Don't know,United States-w4,0
