TIME BLOCK,time,BRPL,BYPL,NDPL,NDMC,MES
00:00 - 00:15,0.25,1433.08,831.808,988.192,123.53688,22.052
00:15 - 00:30,0.5,1403.756,813.348,973.636,121.25464,21.816
00:30 - 00:45,0.75,1380.612,801.036,960.28,119.41564,21.54
00:45 - 01:00,1,1358.94,789.16,947.048,117.85272,21.38
01:00 - 01:15,1.25,1332.3,766.912,927.784,115.71724,21.06
01:15 - 01:30,1.5,1310.964,758.892,911.012,114.14928,20.82
01:30 - 01:45,1.75,1295,753.172,898.54,113.02024,20.76
01:45 - 02:00,2,1279.772,746.252,890.948,112.32044,20.7
02:00 - 02:15,2.25,1259.16,734.484,878.576,110.76008,20.448
02:15 - 02:30,2.5,1244.704,722.864,868.984,109.4788,20.336
02:30 - 02:45,2.75,1238.896,719.516,861.78,109.2222,19.452
02:45 - 03:00,3,1230.024,711.196,846.556,108.79324,19.896
03:00 - 03:15,3.25,1211.572,701.848,833.552,108.11988,19.864
03:15 - 03:30,3.5,1198.164,690.632,825.216,107.41304,19.728
03:30 - 03:45,3.75,1181.38,682.412,815.076,107.07604,19.728
03:45 - 04:00,4,1168.048,676.52,809.292,106.21516,19.6
04:00 - 04:15,4.25,1163.532,672.744,801.852,105.3242,19.824
04:15 - 04:30,4.5,1155.492,666.972,792.676,105.02684,20.024
04:30 - 04:45,4.75,1148.552,661.06,788.616,105.03124,20.232
04:45 - 05:00,5,1148.48,659.18,782.184,105.01756,20.444
05:00 - 05:15,5.25,1141.468,657.716,778.568,105.41488,21.416
05:15 - 05:30,5.5,1140.684,659.052,777.288,105.58688,22.832
05:30 - 05:45,5.75,1148.476,663.86,783.256,105.13512,23.788
05:45 - 06:00,6,1157.068,668.844,787.46,104.81412,24.74
06:00 - 06:15,6.25,1174.652,676.352,786.536,104.18448,25.052
06:15 - 06:30,6.5,1181.34,688.212,788.32,104.368,25.312
06:30 - 06:45,6.75,1179.864,700.028,785.06,105.492,25.36
06:45 - 07:00,7,1168.944,701.796,772.628,110.956,25.364
07:00 - 07:15,7.25,1165.048,706.624,767.48,116.564,25.48
07:15 - 07:30,7.5,1155.768,700.848,767.596,123.2,25.616
