"","year","mdma","count","proportion"
"1",1999,"Pure MDMA",35,0.507246376811594
"2",1999,"More MDMA",4,0.0579710144927536
"3",1999,"Less MDMA",1,0.0144927536231884
"4",1999,"No MDMA",29,0.420289855072464
"5",2000,"Pure MDMA",152,0.456456456456456
"6",2000,"More MDMA",8,0.024024024024024
"7",2000,"Less MDMA",7,0.021021021021021
"8",2000,"No MDMA",166,0.498498498498498
"9",2001,"Pure MDMA",165,0.496987951807229
"10",2001,"More MDMA",11,0.0331325301204819
"11",2001,"Less MDMA",22,0.0662650602409639
"12",2001,"No MDMA",132,0.397590361445783
"13",2001,"Unknown",2,0.00602409638554217
"14",2002,"Pure MDMA",98,0.325581395348837
"15",2002,"More MDMA",14,0.0465116279069767
"16",2002,"Less MDMA",40,0.132890365448505
"17",2002,"No MDMA",143,0.475083056478405
"18",2002,"Unknown",6,0.0199335548172757
"19",2003,"Pure MDMA",58,0.374193548387097
"20",2003,"More MDMA",8,0.0516129032258065
"21",2003,"Less MDMA",18,0.116129032258065
"22",2003,"No MDMA",69,0.445161290322581
"23",2003,"Unknown",2,0.0129032258064516
"24",2004,"Pure MDMA",16,0.10062893081761
"25",2004,"More MDMA",23,0.144654088050314
"26",2004,"Less MDMA",29,0.182389937106918
"27",2004,"No MDMA",88,0.553459119496855
"28",2004,"Unknown",3,0.0188679245283019
"29",2005,"Pure MDMA",39,0.286764705882353
"30",2005,"More MDMA",23,0.169117647058824
"31",2005,"Less MDMA",24,0.176470588235294
"32",2005,"No MDMA",49,0.360294117647059
"33",2005,"Unknown",1,0.00735294117647059
"34",2006,"Pure MDMA",8,0.173913043478261
"35",2006,"More MDMA",5,0.108695652173913
"36",2006,"Less MDMA",15,0.326086956521739
"37",2006,"No MDMA",13,0.282608695652174
"38",2006,"Unknown",5,0.108695652173913
"39",2007,"Pure MDMA",10,0.147058823529412
"40",2007,"More MDMA",5,0.0735294117647059
"41",2007,"Less MDMA",12,0.176470588235294
"42",2007,"No MDMA",29,0.426470588235294
"43",2007,"Unknown",12,0.176470588235294
"44",2008,"Pure MDMA",7,0.152173913043478
"45",2008,"More MDMA",4,0.0869565217391304
"46",2008,"Less MDMA",7,0.152173913043478
"47",2008,"No MDMA",23,0.5
"48",2008,"Unknown",5,0.108695652173913
"49",2009,"Pure MDMA",10,0.075187969924812
"50",2009,"More MDMA",12,0.0902255639097744
"51",2009,"Less MDMA",8,0.0601503759398496
"52",2009,"No MDMA",91,0.684210526315789
"53",2009,"Unknown",12,0.0902255639097744
"54",2010,"Pure MDMA",43,0.292517006802721
"55",2010,"More MDMA",26,0.17687074829932
"56",2010,"Less MDMA",6,0.0408163265306122
"57",2010,"No MDMA",68,0.462585034013605
"58",2010,"Unknown",4,0.0272108843537415
"59",2011,"Pure MDMA",37,0.168181818181818
"60",2011,"More MDMA",30,0.136363636363636
"61",2011,"Less MDMA",22,0.1
"62",2011,"No MDMA",113,0.513636363636364
"63",2011,"Unknown",18,0.0818181818181818
"64",2012,"Pure MDMA",39,0.160493827160494
"65",2012,"More MDMA",21,0.0864197530864197
"66",2012,"Less MDMA",11,0.0452674897119342
"67",2012,"No MDMA",120,0.493827160493827
"68",2012,"Unknown",52,0.213991769547325
"69",2013,"Pure MDMA",59,0.254310344827586
"70",2013,"More MDMA",17,0.0732758620689655
"71",2013,"Less MDMA",6,0.0258620689655172
"72",2013,"No MDMA",103,0.443965517241379
"73",2013,"Unknown",47,0.202586206896552
"74",2014,"Pure MDMA",69,0.32093023255814
"75",2014,"More MDMA",15,0.0697674418604651
"76",2014,"Less MDMA",7,0.0325581395348837
"77",2014,"No MDMA",104,0.483720930232558
"78",2014,"Unknown",20,0.0930232558139535
