"Month","Day","Year","Temp","Date"
"4","1","2012",84,2012-04-01
"4","2","2012",85.3,2012-04-02
"4","3","2012",87.7,2012-04-03
"4","4","2012",85.1,2012-04-04
"4","5","2012",84.4,2012-04-05
"4","6","2012",86.8,2012-04-06
"4","7","2012",85.3,2012-04-07
"4","8","2012",84.7,2012-04-08
"4","9","2012",86.9,2012-04-09
"4","10","2012",81.3,2012-04-10
"4","11","2012",76.6,2012-04-11
"4","12","2012",82.1,2012-04-12
"4","13","2012",77.5,2012-04-13
"4","14","2012",74.8,2012-04-14
"4","15","2012",76.7,2012-04-15
"4","16","2012",81.7,2012-04-16
"4","17","2012",81,2012-04-17
"4","18","2012",81.2,2012-04-18
"4","19","2012",86.7,2012-04-19
"4","20","2012",86.5,2012-04-20
"4","21","2012",84.2,2012-04-21
"4","22","2012",84.7,2012-04-22
"4","23","2012",83,2012-04-23
"4","24","2012",84.1,2012-04-24
"4","25","2012",83.8,2012-04-25
"4","26","2012",78.7,2012-04-26
"4","27","2012",82.1,2012-04-27
"4","28","2012",84.9,2012-04-28
"4","29","2012",85.5,2012-04-29
"4","30","2012",84.6,2012-04-30
"5","1","2012",83.8,2012-05-01
"5","2","2012",84.4,2012-05-02
"5","3","2012",85.7,2012-05-03
"5","4","2012",88.8,2012-05-04
"5","5","2012",90.1,2012-05-05
"5","6","2012",89.7,2012-05-06
"5","7","2012",91,2012-05-07
"5","8","2012",90.9,2012-05-08
"5","9","2012",92.4,2012-05-09
"5","10","2012",94.2,2012-05-10
"5","11","2012",88.7,2012-05-11
"5","12","2012",85,2012-05-12
"5","13","2012",89,2012-05-13
"5","14","2012",85.6,2012-05-14
"5","15","2012",91.5,2012-05-15
"5","16","2012",95.1,2012-05-16
"5","17","2012",90.9,2012-05-17
"5","18","2012",94,2012-05-18
"5","19","2012",94.9,2012-05-19
"5","20","2012",93.5,2012-05-20
"5","21","2012",94.3,2012-05-21
"5","22","2012",94.1,2012-05-22
"5","23","2012",94.3,2012-05-23
"5","24","2012",96.3,2012-05-24
"5","25","2012",99,2012-05-25
"5","26","2012",96.4,2012-05-26
"5","27","2012",96.7,2012-05-27
"5","28","2012",94.7,2012-05-28
"5","29","2012",97.5,2012-05-29
"5","30","2012",99.5,2012-05-30
"5","31","2012",102.5,2012-05-31
"6","1","2012",101.1,2012-06-01
"6","2","2012",99.4,2012-06-02
"6","3","2012",93.7,2012-06-03
"6","4","2012",95.7,2012-06-04
"6","5","2012",90,2012-06-05
"6","6","2012",90.5,2012-06-06
"6","7","2012",91.4,2012-06-07
"6","8","2012",93.1,2012-06-08
"6","9","2012",95.8,2012-06-09
"6","10","2012",97,2012-06-10
"6","11","2012",94.7,2012-06-11
"6","12","2012",97.9,2012-06-12
"6","13","2012",99.9,2012-06-13
"6","14","2012",98.7,2012-06-14
"6","15","2012",100.8,2012-06-15
"6","16","2012",100.3,2012-06-16
"6","17","2012",101.1,2012-06-17
"6","18","2012",90.9,2012-06-18
"6","19","2012",95.3,2012-06-19
"6","20","2012",98.9,2012-06-20
"6","21","2012",101.3,2012-06-21
"6","22","2012",98.3,2012-06-22
"6","23","2012",99.5,2012-06-23
"6","24","2012",99.9,2012-06-24
"6","25","2012",99,2012-06-25
"6","26","2012",96.4,2012-06-26
"6","27","2012",96,2012-06-27
"6","28","2012",98.2,2012-06-28
"6","29","2012",98.2,2012-06-29
"6","30","2012",98.7,2012-06-30
"7","1","2012",100.1,2012-07-01
"7","2","2012",98.7,2012-07-02
"7","3","2012",94.1,2012-07-03
"7","4","2012",94.4,2012-07-04
"7","5","2012",94.1,2012-07-05
"7","6","2012",85.3,2012-07-06
"7","7","2012",81,2012-07-07
"7","8","2012",86.1,2012-07-08
"7","9","2012",87.1,2012-07-09
"7","10","2012",88.6,2012-07-10
"7","11","2012",86.2,2012-07-11
"7","12","2012",84.5,2012-07-12
"7","13","2012",85.6,2012-07-13
"7","14","2012",85.8,2012-07-14
"7","15","2012",89.6,2012-07-15
"7","16","2012",90.9,2012-07-16
"7","17","2012",92.5,2012-07-17
"7","18","2012",95.7,2012-07-18
"7","19","2012",96.4,2012-07-19
"7","20","2012",91.8,2012-07-20
"7","21","2012",89.7,2012-07-21
"7","22","2012",92.3,2012-07-22
"7","23","2012",91.1,2012-07-23
"7","24","2012",91.5,2012-07-24
"7","25","2012",87.3,2012-07-25
"7","26","2012",87.2,2012-07-26
"7","27","2012",87.3,2012-07-27
"7","28","2012",87.2,2012-07-28
"7","29","2012",85.8,2012-07-29
"7","30","2012",85.8,2012-07-30
"7","31","2012",81.1,2012-07-31
"8","1","2012",82.2,2012-08-01
"8","2","2012",89.2,2012-08-02
"8","3","2012",89.9,2012-08-03
"8","4","2012",86.8,2012-08-04
"8","5","2012",89.5,2012-08-05
"8","6","2012",88.1,2012-08-06
"8","7","2012",84.9,2012-08-07
"8","8","2012",83.7,2012-08-08
"8","9","2012",83.8,2012-08-09
"8","10","2012",86.6,2012-08-10
"8","11","2012",82.9,2012-08-11
"8","12","2012",87.7,2012-08-12
"8","13","2012",82.8,2012-08-13
"8","14","2012",84.5,2012-08-14
"8","15","2012",85.8,2012-08-15
"8","16","2012",85.2,2012-08-16
"8","17","2012",88.2,2012-08-17
"8","18","2012",89.4,2012-08-18
"8","19","2012",87.2,2012-08-19
"8","20","2012",83.8,2012-08-20
"8","21","2012",81.2,2012-08-21
"8","22","2012",82.7,2012-08-22
"8","23","2012",82,2012-08-23
"8","24","2012",81.3,2012-08-24
"8","25","2012",80.3,2012-08-25
"8","26","2012",83.3,2012-08-26
"8","27","2012",82.8,2012-08-27
"8","28","2012",81.7,2012-08-28
"8","29","2012",81.4,2012-08-29
"8","30","2012",81.5,2012-08-30
"8","31","2012",85.9,2012-08-31
"9","1","2012",88.1,2012-09-01
"9","2","2012",86.3,2012-09-02
"9","3","2012",86.2,2012-09-03
"9","4","2012",85,2012-09-04
"9","5","2012",87.4,2012-09-05
"9","6","2012",85.9,2012-09-06
"9","7","2012",84,2012-09-07
"9","8","2012",83.9,2012-09-08
"9","9","2012",87.6,2012-09-09
"9","10","2012",89.5,2012-09-10
"9","11","2012",87.2,2012-09-11
"9","12","2012",86.4,2012-09-12
"9","13","2012",85.5,2012-09-13
"9","14","2012",82.7,2012-09-14
"9","15","2012",82.9,2012-09-15
"9","16","2012",84.7,2012-09-16
"9","17","2012",82.8,2012-09-17
"9","18","2012",81.5,2012-09-18
"9","19","2012",83.8,2012-09-19
"9","20","2012",83.6,2012-09-20
"9","21","2012",83.2,2012-09-21
"9","22","2012",83.9,2012-09-22
"9","23","2012",83.2,2012-09-23
"9","24","2012",83.6,2012-09-24
"9","25","2012",83.5,2012-09-25
"9","26","2012",83.5,2012-09-26
"9","27","2012",82.8,2012-09-27
"9","28","2012",82.7,2012-09-28
"9","29","2012",82.8,2012-09-29
"9","30","2012",82.3,2012-09-30
"10","1","2012",82.4,2012-10-01
"10","2","2012",83,2012-10-02
"10","3","2012",83.5,2012-10-03
"10","4","2012",82.3,2012-10-04
"10","5","2012",81.1,2012-10-05
"10","6","2012",80.9,2012-10-06
"10","7","2012",80.2,2012-10-07
"10","8","2012",79.3,2012-10-08
"10","9","2012",79,2012-10-09
